,Sl,Station_Names,Year,Month,Max_Temp,Min_Temp,Rainfall,Relative_Humidity,Wind_Speed,Cloud_Coverage,Bright_Sunshine,Station_Number,X_COR,Y_COR,LATITUDE,LONGITUDE,ALT,Period,Flood?
5149,16625,Sandwip,1978,6,33.9,25.0,425.0,88.0,2.2,5.8,4.666666667,41964,650012.1,488627.9,22.5,91.46,6,1978.06,1
5150,15131,Rangamati,1961,12,27.4,14.8,0.0,80.0,1.4,1.6,7.448148148,41966,725903.3,508021.9,22.67,92.2,63,1961.12,0
5151,18659,Srimangal,1978,12,30.0,9.9,0.0,84.0,0.1,0.0,7.164285714,41915,675761.6,687095.9,24.29,91.73,23,1978.12,0
5152,4023,Comilla,1985,4,34.7,23.9,151.0,81.0,1.9,3.5,7.7,41933,621445.2,596963.4,23.48,91.19,10,1985.04,0
5153,7899,Feni,2008,4,37.9,23.4,16.0,78.0,0.9,2.6,8.4,41943,640285.9,544954.5,23.01,91.37,8,2008.04,0
5154,7155,Faridpur,1987,4,40.1,23.3,105.0,70.0,3.0,3.1,7.8,41929,483877.3,610719.3,23.61,89.84,9,1987.04,0
5155,17690,Satkhira,2001,3,35.7,19.7,38.0,72.0,0.8,1.8,8.9,41946,404211.7,508367.2,22.68,89.07,6,2001.03,0
5156,11504,Kutubdia,1998,9,36.6,25.7,310.0,85.0,1.3,5.4,6.7,41989,690250.3,414997.4,21.83,91.84,6,1998.09,0
5157,14401,Patuakhali,2008,2,30.7,14.8,20.0,74.0,0.5,1.2,8.4,41960,534986.1,472575.7,22.36,90.34,3,2008.02,0
5158,12953,Mongla,1994,6,36.3,26.7,344.0,88.0,2.2,5.8,4.223076923,41958,452007.3,499110.5,22.43,89.66,4,1994.06,1
5159,17868,Sitakunda,1979,1,30.0,13.4,0.0,62.0,1.1,0.4,9.0,41965,668856.2,504500.3,22.64,91.64,4,1979.01,0
5160,20497,Teknaf,2010,2,32.7,16.9,0.0,68.0,3.3,1.1,9.1,41998,734765.4,308914.1,20.87,92.26,4,2010.02,0
5161,8792,Ishurdi,1981,9,34.0,25.8,423.0,84.0,1.4,5.4,5.220689655,41907,402483.2,667640.8,24.12,89.04,14,1981.09,1
5162,175,Barisal,1963,8,36.1,26.0,234.0,87.0,0.7,5.5,4.272340426,41950,536809.8,510151.9,22.7,90.36,4,1963.08,0
5163,7104,Faridpur,1983,1,27.7,12.3,4.0,73.0,0.2,0.8,6.986206897,41929,483877.3,610719.3,23.61,89.84,9,1983.01,0
5164,10824,Khulna,1979,1,29.0,15.1,12.0,71.0,0.3,0.7,7.36,41947,456632.4,521635.7,22.8,89.58,4,1979.01,0
5165,619,Barisal,2000,8,34.5,25.7,203.0,87.0,1.5,6.6,3.6,41950,536809.8,510151.9,22.7,90.36,4,2000.08,1
5166,10279,Khepupara,1999,8,32.6,25.6,535.0,89.0,2.8,6.5,3.8,41984,522893.1,430006.8,21.98,90.22,3,1999.08,1
5167,11814,Madaripur,1987,7,34.8,25.8,252.0,87.0,1.3,7.0,3.661538462,41939,518762.7,561770.3,23.17,90.18,5,1987.07,0
5168,18732,Srimangal,1985,1,26.5,9.5,5.0,82.0,0.2,0.0,6.710714286,41915,675761.6,687095.9,24.29,91.73,23,1985.01,0
5169,8741,Ishurdi,1977,6,34.6,23.8,1167.0,85.0,2.8,6.5,5.168965517,41907,402483.2,667640.8,24.12,89.04,14,1977.06,1
5170,15150,Rangamati,1963,7,33.8,25.1,950.0,89.0,2.6,6.1,3.748148148,41966,725903.3,508021.9,22.67,92.2,63,1963.07,1
